x,y,z
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.05
0.0,0.0,-0.08
0.0,0.0,-0.12
0.0,0.0,-0.12
0.0,0.0,-0.12
0.0,0.0,-0.12
0.0,0.0,-0.1
0.0,0.0,-0.12
0.0,0.0,-0.1
0.0,0.0,-0.12
0.0,0.0,-0.09
0.0,0.0,-0.14
0.0,0.0,-0.12
0.0,0.0,-0.09
0.0,0.0,-0.12
0.0,0.0,-0.14
0.0,0.0,-0.1
0.0,0.0,-0.1
0.0,0.0,-0.1
0.0,0.0,-0.22
0.0,0.0,-0.33
0.0,0.0,-0.2
0.0,0.0,-0.1
0.0,0.0,-0.1
0.0,0.0,0.020000000000000004
0.0,0.0,0.11000000000000001
0.0,0.0,0.31000000000000005
0.0,0.0,0.42
0.0,0.0,0.5
0.0,0.0,0.7100000000000001
0.0,0.0,0.8
0.0,0.0,0.9500000000000001
0.0,0.0,1.08
0.0,0.0,1.1800000000000002
0.0,0.0,1.2999999999999998
0.0,0.0,1.48
0.0,0.0,1.58
0.0,0.0,1.7
0.0,0.0,1.71
0.0,0.0,1.73
0.0,0.0,1.6800000000000002
0.0,0.0,1.7
0.0,0.0,1.8099999999999998
0.0,0.0,1.7599999999999998
0.0,0.0,1.73
0.0,0.0,1.83
0.0,0.0,1.49
0.0,0.0,1.3599999999999999
0.0,0.0,1.91
0.0,0.0,1.95
0.0,0.0,1.82
0.0,0.0,1.71
0.0,0.0,1.72
0.0,0.0,1.57
0.0,0.0,1.46
0.0,0.0,1.3900000000000001
0.0,0.0,0.8900000000000001
0.0,0.0,0.2100000000000002
0.0,0.0,0.050000000000000266
0.0,0.0,-0.08999999999999986
0.0,0.0,0.22999999999999998
0.0,0.0,0.10000000000000009
0.0,0.0,-0.040000000000000036
0.0,0.0,-0.5899999999999999
0.0,0.0,0.3900000000000001
0.0,0.0,-0.3899999999999997
0.0,0.0,-0.4099999999999997
0.0,0.0,-0.52
0.0,0.0,-0.5099999999999998
0.0,0.0,-0.5099999999999998
0.0,0.0,-0.5799999999999996
0.0,0.0,-0.6199999999999997
0.0,0.0,-0.5099999999999998
0.0,0.0,-0.48999999999999977
0.0,0.0,-0.5
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48
0.0,0.0,-0.48999999999999977
