Timestamp,Distance (cm)
2025-04-28 19:43:08.432,12.0
2025-04-28 19:43:08.556,13.0
2025-04-28 19:43:08.680,13.0
2025-04-28 19:43:08.803,14.0
2025-04-28 19:43:08.927,12.0
2025-04-28 19:43:09.051,14.0
2025-04-28 19:43:09.174,13.0
2025-04-28 19:43:09.298,13.0
2025-04-28 19:43:09.421,13.0
2025-04-28 19:43:09.545,15.0
2025-04-28 19:43:09.668,13.0
2025-04-28 19:43:09.792,14.0
2025-04-28 19:43:09.916,14.0
2025-04-28 19:43:10.039,13.0
2025-04-28 19:43:10.163,14.0
2025-04-28 19:43:10.286,14.0
2025-04-28 19:43:10.410,14.0
2025-04-28 19:43:10.533,13.0
2025-04-28 19:43:10.657,14.0
2025-04-28 19:43:10.781,12.0
2025-04-28 19:43:10.904,13.0
2025-04-28 19:43:11.028,15.0
2025-04-28 19:43:11.151,14.0
2025-04-28 19:43:11.275,13.0
2025-04-28 19:43:11.398,13.0
2025-04-28 19:43:11.522,13.0
2025-04-28 19:43:11.645,13.0
2025-04-28 19:43:11.769,13.0
2025-04-28 19:43:11.893,12.0
2025-04-28 19:43:12.016,14.0
2025-04-28 19:43:12.140,12.0
2025-04-28 19:43:12.263,14.0
2025-04-28 19:43:12.387,13.0
2025-04-28 19:43:12.511,13.0
2025-04-28 19:43:12.634,15.0
2025-04-28 19:43:12.758,13.0
2025-04-28 19:43:12.881,14.0
2025-04-28 19:43:13.005,14.0
2025-04-28 19:43:13.128,14.0
2025-04-28 19:43:13.252,12.0
2025-04-28 19:43:13.376,15.0
2025-04-28 19:43:13.499,14.0
2025-04-28 19:43:13.623,13.0
2025-04-28 19:43:13.746,14.0
2025-04-28 19:43:13.870,13.0
2025-04-28 19:43:13.993,14.0
2025-04-28 19:43:14.117,15.0
2025-04-28 19:43:14.241,14.0
2025-04-28 19:43:14.364,15.0
2025-04-28 19:43:14.488,13.0
2025-04-28 19:43:14.612,15.0
2025-04-28 19:43:14.735,14.0
2025-04-28 19:43:14.859,13.0
2025-04-28 19:43:14.983,14.0
2025-04-28 19:43:15.106,17.0
2025-04-28 19:43:15.230,14.0
2025-04-28 19:43:15.354,14.0
2025-04-28 19:43:15.477,15.0
2025-04-28 19:43:15.601,12.0
2025-04-28 19:43:15.724,12.0
2025-04-28 19:43:15.848,13.0
2025-04-28 19:43:15.972,13.0
2025-04-28 19:43:16.095,12.0
2025-04-28 19:43:16.219,14.0
2025-04-28 19:43:16.342,14.0
2025-04-28 19:43:16.466,14.0
2025-04-28 19:43:16.589,14.0
2025-04-28 19:43:16.713,13.0
2025-04-28 19:43:16.837,13.0
2025-04-28 19:43:16.960,14.0
2025-04-28 19:43:17.084,12.0
2025-04-28 19:43:17.207,17.0
2025-04-28 19:43:17.331,14.0
2025-04-28 19:43:17.454,13.0
2025-04-28 19:43:17.578,13.0
2025-04-28 19:43:17.702,15.0
2025-04-28 19:43:17.825,13.0
2025-04-28 19:43:17.949,13.0
2025-04-28 19:43:18.072,14.0
2025-04-28 19:43:18.196,13.0
2025-04-28 19:43:18.319,13.0
2025-04-28 19:43:18.443,13.0
2025-04-28 19:43:18.567,13.0
2025-04-28 19:43:18.690,15.0
2025-04-28 19:43:18.814,13.0
2025-04-28 19:43:18.937,13.0
2025-04-28 19:43:19.061,13.0
